context,function,mop,mopLabel,code,label,245abbr,245label,note,isLabelFun
performance,,tun,"strings, plucked – unspecified",1357,Cordes pincées (divers),,,,FALSE
performance,,tun__y,"strings, plucked – ethnique",1358,Cordes pincées (musique ethnique),,,,FALSE
performance,,tzi,zither,1360,Cithare,,,,FALSE
performance,,tzi,zither,1367,Cithares (diverses),,,,FALSE
performance,,tzi,zither,1368,Cithares (musique ethnique),,,,FALSE
performance,,pci,cimbalom,1370,Cymbalum,,,,FALSE
performance,,,,1377,Cordes frappées (divers),,,,FALSE
performance,,,,1378,Cordes frappées (musique ethnique),,,,FALSE
performance,,wfl,flute,1380,Flûte,fl.,flûte,,FALSE
performance,,wun,woodwind – unspecified,1387,Bois (divers),,,,FALSE
performance,,wun__y,woodwind – ethnique,1388,Flûtes (musique ethnique),,,,FALSE
performance,,wfl,flute,1389,Flûte (sons traités par l'électronique),,,,FALSE
performance,,wpi,piccolo,1390,Piccolo,picc.,piccolo,,FALSE
performance,,wpi,piccolo,,,flûte piccolo,fl. picc.,,FALSE
performance,,wre,recorder,1400,Flûte à bec,fl. à bec,flûte à bec,,FALSE
performance,,wre,recorder,1407,Flûtes à bec (diverses),,,,FALSE
performance,,wpp,panpipes,1410,Flûte de Pan,,,,FALSE
performance,,wpp,panpipes,1418,Flûtes de Pan (musique ethnique),,,,FALSE
performance,,wsa,saxophone,,,saxo sopranino,saxophone sopranino,,FALSE
performance,,wfl,flute,,,fl. sopranino,flûte sopranino,,FALSE
performance,,wre,recorder,,,fl. à bec sopranino,flûte à bec sopranino,,FALSE
performance,,wcl,clarinet,1420,Clarinette,clar.,clarinette,,FALSE
performance,,,,1427,Instruments à anche (divers),,,,FALSE
performance,,,,1428,Instruments à anche (musique ethnique),,,,FALSE
performance,,wob,oboe,1430,Hautbois,htb,hautbois,,FALSE
performance,,woa,oboe d’amore,,,htb d´amour,hautbois d´amour,,FALSE
performance,,mwd,wind instrument,1437,Instruments à vent (divers),,,,FALSE
performance,,mwd,wind instrument,1438,Instruments à vent divers (musique ethnique),,,,FALSE
performance,,weh,english horn,1440,Cor anglais,,,,FALSE
performance,,wsa,saxophone,1450,Saxophone,saxo,saxophone,,FALSE
performance,,ely,lyricon,1459,Lyricon,,,,FALSE
performance,,wba,bassoon,1460,Basson,,,,FALSE
performance,,btr,trumpet,1470,Trompette,trp,trompette,,FALSE
performance,,bun,brass – unspecified,1477,Cuivres (divers),,,,FALSE
performance,,bun__y,brass - ethnique,1478,Trompes (musique ethnique),,,,FALSE
performance,,bvb,valved bugle,1480,Bugle,,,,FALSE
performance,,bco,cornet,1490,Cornet à pistons,cnt à pistons,cornet à pistons,,FALSE
performance,,bct,cornett,1500,Cornet à bouquin,cnt à bouquin,cornet à bouquin,,FALSE
performance,,bho,horn,1510,Cor,,,,FALSE
performance,,btb,trombone,1520,Trombone,trb,trombone,,FALSE
performance,,btb,trombone,1527,Trombones (divers),,,,FALSE
performance,,btu,tuba,1530,Tuba,,,,FALSE
performance,,btu,tuba,1537,Tubas (divers),,,,FALSE
performance,,mmi,mirliton,1540,Mirliton,,,,FALSE
performance,,mha,harmonica,1550,Harmonica,hrmca,harmonica,,FALSE
performance,,,,1557,Instruments à anche libre (divers),,,,FALSE
performance,,,,1558,Instruments à anche libre (musique ethnique),,,,FALSE
performance,,kpf,piano,1560,Piano,p,piano,,FALSE
performance,,kun,keyboard - unspecified,,,clavier,clavier (musique classique),,FALSE
performance,,kun,keyboard - unspecified,,,,instrument à clavier,,FALSE
performance,,kun,keyboard - unspecified,,,claviers,"claviers (jazz, rock)",,FALSE
performance,,kun,keyboard - unspecified,1567,Claviers (divers),,,,FALSE
performance,,kpf__r,electric piano,1569,Piano électrique,électr.,électrique,,FALSE
performance,,kfp,fortepiano,1570,Pianoforte,pf,piano-forte,,FALSE
performance,,khp,harpsichord,1580,Clavecin,clav.,clavecin,,FALSE
performance,,khp,harpsichord,1587,Clavecins (divers),,,,FALSE
performance,,kor,organ,1590,Orgue,org.,orgue,,FALSE
performance,,kor,organ,,,org. pos.,orgue positif,,FALSE
performance,,kor,organ,1597,Orgues (divers),,,,FALSE
performance,,kor,organ,1598,Orgue (musique ethnique),,,,FALSE
performance,,kor__r,electric organ,1599,Orgue électronique,,,,FALSE
performance,,mbo,barrel organ,1600,Orgue mécanique,,,,FALSE
performance,,mbo,barrel organ,1607,Orgues mécaniques (divers),,,,FALSE
performance,,khm,harmonium,1610,Harmonium,,,,FALSE
performance,,kcl,clavichord,1620,Clavicorde,,,,FALSE
performance,,kac,accordion,1630,Accordéon,acrdn,accordéon chromatique,,FALSE
performance,,kac,accordion,,,acrdn diato.,accordéon diatonique,,FALSE
performance,,kac,accordion,1637,Accordéons (divers),,,,FALSE
performance,,kac,accordion,1638,Accordéon (musique ethnique),,,,FALSE
performance,,sun,"strings, bowed – unspecified",,,vièle à archet,vièle à archet,,FALSE
performance,,mhg,hurdy-gurdy,1640,Vielle à roue,vielle,vielle à roue,,FALSE
performance,,mhg,hurdy-gurdy,1649,Vielle à roue électrique,vielle électr.,vielle à roue électrique,,FALSE
performance,,pds,drums,1650,Batterie,batt.,batterie,,FALSE
performance,,pds,drums,1651,Batterie (interprète présumé),,,,FALSE
performance,,pds,drums,1653,Batterie (interprète prétendu),,,,FALSE
performance,,pun,percussion – unspecified,1657,Membranophones (divers),,,,FALSE
performance,,pun__y,percussion – ethnique,1658,Membranophones (musique ethnique),,,,FALSE
performance,,pds,drums,1659,Batterie électrique,électr.,électrique,,FALSE
performance,,pdr,drum,1660,Tambour,tamb.,tambour,,FALSE
performance,,pun,percussion – unspecified,1667,Percussions,perc.,percussions,,FALSE
performance,,pun__y,percussion – ethnique,1668,Percussions (musique ethnique),,,,FALSE
performance,,pti,timpani,1670,Timbales,timb.,timbales,,FALSE
performance,,pxy,xylophone,1680,Xylophone,xyl.,xylophone,,FALSE
performance,,pxy,xylophone,1688,Xylophones (musique ethnique),,,,FALSE
performance,,pmb,marimba,1690,Marimba,,,,FALSE
performance,,pvi,vibraphone,1700,Vibraphone,vibr.,vibraphone,,FALSE
performance,,pme,metallophone,1707,Métallophones (divers),,,,FALSE
