function,mop,mopLabel,code,label,245abbr,245label,isLabelFun
,wpi,piccolo,,,flûte piccolo,fl. picc.,FALSE
,wre,recorder,1400,Flûte à bec,fl. à bec,flûte à bec,FALSE
,wre,recorder,1407,Flûtes à bec (diverses),,,FALSE
,wpp,panpipes,1410,Flûte de Pan,,,FALSE
,wpp,panpipes,1418,Flûtes de Pan (musique ethnique),,,FALSE
,wsa,saxophone,,,saxo sopranino,saxophone sopranino,FALSE
,wfl,flute,,,fl. sopranino,flûte sopranino,FALSE
,wre,recorder,,,fl. à bec sopranino,flûte à bec sopranino,FALSE
,wcl,clarinet,1420,Clarinette,clar.,clarinette,FALSE
,,,1427,Instruments à anche (divers),,,FALSE
,,,1428,Instruments à anche (musique ethnique),,,FALSE
,wob,oboe,1430,Hautbois,htb,hautbois,FALSE
,woa,oboe d’amore,,,htb d´amour,hautbois d´amour,FALSE
,mwd,wind instrument,1437,Instruments à vent (divers),,,FALSE
,mwd,wind instrument,1438,Instruments à vent divers (musique ethnique),,,FALSE
,weh,english horn,1440,Cor anglais,,,FALSE
,wsa,saxophone,1450,Saxophone,saxo,saxophone,FALSE
,ely,lyricon,1459,Lyricon,,,FALSE
,wba,bassoon,1460,Basson,,,FALSE
,btr,trumpet,1470,Trompette,trp,trompette,FALSE
,bun,brass – unspecified,1477,Cuivres (divers),,,FALSE
,bun__y,brass - ethnique,1478,Trompes (musique ethnique),,,FALSE
,bvb,valved bugle,1480,Bugle,,,FALSE
,bco,cornet,1490,Cornet à pistons,cnt à pistons,cornet à pistons,FALSE
,bct,cornett,1500,Cornet à bouquin,cnt à bouquin,cornet à bouquin,FALSE
,bho,horn,1510,Cor,,,FALSE
,btb,trombone,1520,Trombone,trb,trombone,FALSE
,btb,trombone,1527,Trombones (divers),,,FALSE
,btu,tuba,1530,Tuba,,,FALSE
,btu,tuba,1537,Tubas (divers),,,FALSE
,mmi,mirliton,1540,Mirliton,,,FALSE
,mha,harmonica,1550,Harmonica,hrmca,harmonica,FALSE
,,,1557,Instruments à anche libre (divers),,,FALSE
,,,1558,Instruments à anche libre (musique ethnique),,,FALSE
,kpf,piano,1560,Piano,p,piano,FALSE
,kun,keyboard - unspecified,,,clavier,clavier (musique classique),FALSE
,kun,keyboard - unspecified,,,,instrument à clavier,FALSE
,kun,keyboard - unspecified,,,claviers,"claviers (jazz, rock)",FALSE
,kun,keyboard - unspecified,1567,Claviers (divers),,,FALSE
