iaml;name;frenchName;intermarc;note
mra;rabab;;;Pas d’équivalent dans le format source
mss;sound sculpture;sculpture sonore;;Pas d’équivalent dans le format source
msw;swanee whistle;flûte à coulisse;;Pas d’équivalent dans le format source
mtf;tuning-fork;diapason;;Pas d’équivalent dans le format source
mui;Instrument unspecified;instrument  - non spécifié;;Pas d’équivalent dans le format source
mun;instrument or voice, unspecified;instrument ou voix - non spécifié;zn;
mun;instrument or voice, unspecified;instrument ou voix - inconnu;zu;
mwd;wind instrument;instrument à vent;;Pas d’équivalent dans le format source
mwh;whistle;sifflet;;Pas d’équivalent dans le format source
mzz;other;autre;;Pas d’équivalent dans le format source
oba;band;harmonie;od;
obi;big band;;;Pas d’équivalent dans le format source
obr;brass band;fanfare;of;
ocb;cobla;;;Pas d’équivalent dans le format source
och;chamber orchestra;orchestre de chambre;ob;
oco;combo;;;Pas d’équivalent dans le format source
odo;dance orchestra;orchestre de danse;oe;
ofu;full orchestra;orchestre symphonique;oa;
oga;gamelan;;;Pas d’équivalent dans le format source
oie;instrumental ensemble;ensemble instrumental;;Pas d’équivalent dans le format source
oja;jazz band;ensemble jazz;;Pas d’équivalent dans le format source
ope;percussion orchestra;orchestre de percussions;;Pas d’équivalent dans le format source
orb;ragtime band;;;Pas d’équivalent dans le format source
osb;steel band;;;Pas d’équivalent dans le format source
ost;string orchestra;orchestre à cordes;oc;
oun;orchestra –unspecified;orchestre - non spécifié;on;
oun;orchestra –unspecified;orchestre   inconnu;ou;
oun;orchestra –unspecified;orchestre - ethnique;oy;Suffixe ‘y’ pour orchestre ethnique
owi;wind orchestra;orchestre de vents;;Pas d’équivalent dans le format source
ozz;orchestra – other;orchestre français XVIIe - XVIIIe s.;og;
ozz;orchestra – other;orchestre XVIIe - XVIIIe s.;oh;
ozz;orchestra – other;orchestre - autre;oz;
pab;aeolian bells;clochettes suspendues;;Pas d’équivalent dans le format source
pad;arabian drum;darbouka;;Pas d’équivalent dans le format source
pag;agogo;;;Pas d’équivalent dans le format source
pan;anvil;enclume;;Pas d’équivalent dans le format source
pbb;boobams;boo-bams;;Pas d’équivalent dans le format source
pbd;bass drum;grosse caisse;;Pas d’équivalent dans le format source
pbe;tambourin de béarn;tambourin de Béarn;;Pas d’équivalent dans le format source
pbl;bells;cloches;;Pas d’équivalent dans le format source
pbo;bongos;;;Pas d’équivalent dans le format source
pbp;metal bells plate;cloches-plaques;;Pas d’équivalent dans le format source
pbr;bronte;bronté;;Pas d’équivalent dans le format source
pca;castanets;castagnettes;;Pas d’équivalent dans le format source
pcb;cabaca;calebasse;;Pas d’équivalent dans le format source
pcc;chinese cymbals;cymbales chinoises;;Pas d’équivalent dans le format source
pcg;conga;conga;;Pas d’équivalent dans le format source
pch;chains;chaînes;;Pas d’équivalent dans le format source
pci;cimbalom;cymbalum;;Pas d’équivalent dans le format source
pco;chocalho;tube sonore;;Pas d’équivalent dans le format source
pcr;crash cymbal;cymbale suspendue;;Pas d’équivalent dans le format source
pct;crotales;cymbales antiquesl;;Pas d’équivalent dans le format source
pcu;cuíca;;;Pas d’équivalent dans le format source
pcv;claves;baguettes;;Pas d’équivalent dans le format source
pcw;cowbell;cloche de vache;;Pas d’équivalent dans le format source
pcy;cymbals;cymbale;;Pas d’équivalent dans le format source
pdr;drum;tambour;pd;
pds;drums;batterie;;Pas d’équivalent dans le format source
pds;drums;batterie;;Pas d’équivalent dans le format source
pds;drums;batterie;;Pas d’équivalent dans le format source
